No.,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説,分野
209,GKE Deployment のロールアウト状況を確認するコマンドはどれですか？,`kubectl rollout status deployment/DEPLOYMENT_NAME`,`gcloud dns managed-zones list`,`bq ls`,`gcloud billing accounts list`,A,`kubectl rollout status` は Deployment の更新完了や進行状況を確認します。,【クラウド ソリューションの正常な運用の実現】
210,GKE Deployment を直前の安定したリビジョンへ戻すコマンドはどれですか？,`kubectl rollout undo deployment/DEPLOYMENT_NAME`,`kubectl delete deployment DEPLOYMENT_NAME`,`gcloud projects delete PROJECT_ID`,`gcloud storage rm gs://BUCKET/**`,A,`kubectl rollout undo` は Deployment のロールアウトを以前のリビジョンへ戻します。,【クラウド ソリューションの正常な運用の実現】
211,Pub/Sub の未処理メッセージ量が増加しているかを確認する主な指標はどれですか？,未配信メッセージ数,Cloud DNS レコード数,Cloud Storage の保持期間,VPC の CIDR 範囲,A,サブスクリプションの未配信メッセージ数を Monitoring で監視すると、コンシューマーの遅延を検知できます。,【クラウド ソリューションの正常な運用の実現】
212,Cloud Scheduler ジョブが実行されなかった原因を確認する主な場所はどれですか？,Cloud Logging の実行ログ,Cloud CDN キャッシュ,Cloud Storage ライフサイクル,Cloud Armor ポリシー,A,Cloud Scheduler の実行結果やエラーは Cloud Logging で調査できます。,【クラウド ソリューションの正常な運用の実現】
213,Cloud Functions の失敗回数や実行時間を監視するサービスはどれですか？,Cloud Monitoring,Cloud DNS,Cloud NAT,Artifact Registry,A,Cloud Functions は実行回数、エラー数、レイテンシなどのメトリクスを Cloud Monitoring に提供します。,【クラウド ソリューションの正常な運用の実現】
214,Compute Engine VM のシリアルポート出力を確認して起動障害を調査する主な方法はどれですか？,Cloud Console または `gcloud compute instances get-serial-port-output`,Cloud DNS のレコードセット,Cloud Billing の予算,Cloud CDN,A,シリアルポート出力には OS 起動時のカーネルやブート関連のメッセージが含まれ、SSH 接続できない障害の調査に役立ちます。,【クラウド ソリューションの正常な運用の実現】
215,VM の起動・停止・削除などの操作履歴を確認する監査ログの種類はどれですか？,Admin Activity 監査ログ,Data Access 監査ログのみ,Cloud CDN ログ,Cloud Storage ライフサイクル ログ,A,Admin Activity 監査ログはリソースの作成、変更、削除などの管理操作を記録します。,【クラウド ソリューションの正常な運用の実現】
216,Cloud Monitoring の uptime check の主な用途はどれですか？,外部から HTTP(S) エンドポイントの到達可能性を定期確認する,VM の OS パッチを適用する,バケットを暗号化する,VPC をピアリングする,A,uptime check は指定 URL などへの到達性を定期的に確認し、失敗をアラート条件に利用できます。,【クラウド ソリューションの正常な運用の実現】
217,Cloud Load Balancing のバックエンドが正常かどうかを判断するために使用するものはどれですか？,ヘルスチェック,Cloud Billing の予算,Cloud Storage のバージョニング,Cloud DNS の MX レコード,A,ヘルスチェックに成功したバックエンドだけがロードバランサの転送先になります。,【クラウド ソリューションの正常な運用の実現】
218,大量ログの保存コストを抑えつつ、長期分析のため BigQuery に送信する Cloud Logging の構成はどれですか？,BigQuery 宛てのログシンク,Cloud NAT,VPC ファイアウォール,Cloud CDN,A,ログシンクを BigQuery 宛てに設定すると、ログを SQL で長期分析できます。,【クラウド ソリューションの正常な運用の実現】
219,Cloud Monitoring のアラートが一時的なスパイクで頻繁に発生する場合、誤検知を減らす方法として適切なものはどれですか？,条件の継続時間を設定する,すべての通知チャネルを削除する,Cloud Logging を無効化する,VPC を削除する,A,しきい値超過が一定時間継続した場合のみ通知することで、一時的な変動によるアラートを抑制できます。,【クラウド ソリューションの正常な運用の実現】
220,障害対応後に、原因、影響、時系列、再発防止策を記録・共有する運用プラクティスはどれですか？,ポストモーテム,Cloud NAT,Cloud Storage のアーカイブ,Cloud DNS のゾーン転送,A,ポストモーテムはインシデントから学び、再発防止と運用改善につなげるための振り返りです。,【クラウド ソリューションの正常な運用の実現】
221,Cloud Monitoring のカスタム指標をアプリケーションから送信する主な目的はどれですか？,業務固有の指標を監視する,DNS を管理する,VM を削除する,課金を停止する,A,カスタム指標で注文数など独自の状態を監視できます。,【クラウド ソリューションの正常な運用の実現】
222,Cloud Monitoring のアラートの状態が解消されたことを示す状態はどれですか？,OK,Firing,Pending,Deleted,A,条件を満たさなくなるとインシデントは解決済みになります。,【クラウド ソリューションの正常な運用の実現】
223,Cloud Logging の特定ログを集計して Monitoring のアラート条件に使うものはどれですか？,ログベースの指標,Cloud CDN,Cloud NAT,Cloud DNS,A,ログベースの指標は一致したログの件数などをメトリクス化します。,【クラウド ソリューションの正常な運用の実現】
224,Cloud SQL の接続数上限に近づいていることを確認する主なサービスはどれですか？,Cloud Monitoring,Cloud Storage,Cloud DNS,Cloud CDN,A,Cloud SQL の接続数などの指標は Cloud Monitoring で確認します。,【クラウド ソリューションの正常な運用の実現】
225,Persistent Disk のスナップショットから新しい VM を復旧する際、最初に作成するものはどれですか？,スナップショットから作成したディスク,Cloud NAT,Cloud DNS ゾーン,Pub/Sub トピック,A,スナップショットからディスクを作成して VM にアタッチします。,【クラウド ソリューションの正常な運用の実現】
226,MIG の現在の VM 数を手動で変更する操作はどれですか？,サイズ変更（resize）,ログシンク作成,DNS ゾーン削除,バケットロック,A,MIG は resize で希望インスタンス数を変更できます。,【クラウド ソリューションの正常な運用の実現】
227,Cloud Run の同時実行数を調整する主な目的はどれですか？,インスタンスごとの処理並列度を制御する,DNS を暗号化する,ディスクを拡張する,ログを削除する,A,同時実行数は1インスタンスが処理できるリクエスト数を制御します。,【クラウド ソリューションの正常な運用の実現】
228,Cloud Run でゼロスケールによる初回遅延を抑える設定はどれですか？,最小インスタンス数,Cloud NAT,Cloud CDN,Cloud DNS,A,最小インスタンス数を設定するとアイドル時もインスタンスを維持できます。,【クラウド ソリューションの正常な運用の実現】
229,Pub/Sub のメッセージ処理が完了したことをサブスクリプションに通知する操作はどれですか？,acknowledge（ACK）,publish,snapshot delete,DNS resolve,A,ACK されないメッセージは再配信される可能性があります。,【クラウド ソリューションの正常な運用の実現】
230,Pub/Sub サブスクリプションのメッセージ保持期間を延長する主な理由はどれですか？,一時停止したコンシューマーが後で処理できるようにする,VM を高速化する,DNS を更新する,ログを暗号化する,A,保持期間内なら未確認応答のメッセージを後から処理できます。,【クラウド ソリューションの正常な運用の実現】
231,Dataflow ストリーミング ジョブの処理遅延を監視するサービスはどれですか？,Cloud Monitoring,Cloud DNS,Cloud CDN,Cloud Armor,A,Dataflow のシステム遅延などは Cloud Monitoring で確認できます。,【クラウド ソリューションの正常な運用の実現】
232,Cloud Build の実行時間が長い原因を調査する主な情報はどれですか？,各ビルドステップのログと所要時間,DNS の SOA,VPC CIDR,バケット名,A,ビルド詳細で各ステップの時間とログを確認します。,【クラウド ソリューションの正常な運用の実現】
233,Cloud Storage のライフサイクル ルールの適用前に、対象オブジェクトを確認する目的はどれですか？,意図しない削除を防ぐ,DNS を作成する,VM を起動する,Pub/Sub を停止する,A,条件や対象を検証してデータ損失を防ぎます。,【クラウド ソリューションの正常な運用の実現】
234,Cloud Storage の保持ポリシーをロックした後の説明として正しいものはどれですか？,保持期間を短縮・削除できない,いつでも無効化できる,バケットが無料になる,DNS が不要になる,A,ロックは規制対応のため不可逆です。,【クラウド ソリューションの正常な運用の実現】
235,Cloud Logging のログ量増加による費用を把握する主なサービスはどれですか？,Cloud Billing,Cloud CDN,Cloud DNS,Cloud Router,A,Cloud Billing のレポートで Logging の利用料金を確認できます。,【クラウド ソリューションの正常な運用の実現】
236,監視対象の複数プロジェクトを横断するアラートを管理する機能はどれですか？,メトリクス スコープ,Cloud NAT,Cloud Storage Archive,Cloud DNS,A,メトリクス スコープは複数プロジェクトのメトリクスを一元監視します。,【クラウド ソリューションの正常な運用の実現】
237,Cloud SQL の読み取りレプリカがプライマリより遅れている状態を何と呼びますか？,レプリケーション遅延,DNS キャッシュ,NAT 変換,ログシンク,A,レプリケーション遅延はレプリカのデータ反映が遅れている状態です。,【クラウド ソリューションの正常な運用の実現】
238,GKE Pod のイベント、イメージ取得失敗、スケジューリング失敗を確認するコマンドはどれですか？,`kubectl describe pod POD_NAME`,`kubectl delete pod POD_NAME`,`gcloud billing accounts close`,`gcloud dns record-sets delete`,A,`kubectl describe pod` は状態とイベントを表示します。,【クラウド ソリューションの正常な運用の実現】
239,Cloud Monitoring の uptime check 失敗時に、外部公開 Web サービスの可用性低下を通知するものはどれですか？,アラート ポリシー,Cloud Storage 保持ポリシー,VPC ピアリング,Cloud NAT,A,uptime check を条件にしたアラート ポリシーで通知します。,【クラウド ソリューションの正常な運用の実現】
240,定期的な復元テストを行う主な目的はどれですか？,バックアップから実際に復旧できることを検証する,ログを削除する,DNS を停止する,課金を無効化する,A,バックアップの存在だけでなく、復旧手順と復旧時間を検証します。,【クラウド ソリューションの正常な運用の実現】
241,プロジェクト内の特定のユーザーに、Cloud Storage バケット内のオブジェクトを閲覧する権限だけを付与したい場合、最も適切な IAM の設定はどれですか？,ユーザーにプロジェクトのオーナーロールを付与する,ユーザーに必要な閲覧権限を含む最小権限のロールを、対象バケットに付与する,ユーザーのパスワードを共有する,バケットをすべてのユーザーに公開する,B,IAM では最小権限の原則に従い、必要な操作のみを許可するロールを、可能な限り低いリソース階層（この場合はバケット）に付与します。,【アクセスとセキュリティの構成】
242,Google Cloud があらかじめ用意し、特定のサービスに必要な権限をまとめたロールは何ですか？,基本ロール,事前定義ロール,カスタムロール,組織ポリシー,B,事前定義ロールは、Google Cloud が管理するサービス別のロールです。基本ロール（オーナー、編集者、閲覧者）は権限が広すぎることが多いため、通常は事前定義ロールの利用が推奨されます。,【アクセスとセキュリティの構成】
243,Compute Engine 上で動くアプリケーションが、ユーザーの認証情報を埋め込まずに Cloud Storage へアクセスするために使用する ID は何ですか？,サービス アカウント,Google グループ,VPC ネットワーク,ファイアウォール ルール,A,サービス アカウントは、VM やアプリケーションなどのワークロードが Google Cloud API を呼び出すための ID です。サービス アカウントに必要な IAM ロールを付与します。,【アクセスとセキュリティの構成】
244,組織ノードでユーザーに IAM ロールを付与した場合、通常その権限はどのように適用されますか？,組織ノードだけに適用され、フォルダやプロジェクトには適用されない,配下のフォルダ、プロジェクト、リソースへ継承される,作成済みのリソースにだけ適用される,請求先アカウントにだけ適用される,B,IAM ポリシーは、組織、フォルダ、プロジェクト、リソースという階層に沿って継承されます。上位階層での過度に広い権限付与には注意が必要です。,【アクセスとセキュリティの構成】
245,組織内のすべてのプロジェクトで「外部 IP アドレスを持つ Compute Engine VM の作成」を禁止したい場合に、中央で適用する仕組みは何ですか？,組織ポリシー,Cloud Logging のログシンク,Cloud DNS のレコード,Cloud Scheduler のジョブ,A,組織ポリシーは、組織・フォルダ・プロジェクト階層に制約を設定し、許可されない構成が作成されることを予防するガードレールです。,【アクセスとセキュリティの構成】
246,VPC 内の VM への受信通信を、Web サーバー用の VM にだけ TCP 443 で許可したい場合、最も適切な構成はどれですか？,すべての VM に対して 0.0.0.0/0 から全ポートを許可する,ネットワークタグまたはサービス アカウントを対象にした、TCP 443 の受信ファイアウォール ルールを作成する,Cloud NAT を有効化する,Cloud Storage バケットを非公開にする,B,VPC ファイアウォール ルールでは、ネットワークタグやサービス アカウントを対象にして、必要な VM とポートだけへ受信通信を許可できます。,【アクセスとセキュリティの構成】
247,外部 IP アドレスを持たないプライベート VM から、インターネット上のソフトウェア更新リポジトリへ安全に送信接続したい場合に使用するサービスは何ですか？,Cloud NAT,Cloud VPN,Cloud DNS,Cloud CDN,A,Cloud NAT は、外部 IP アドレスのない VM に対して送信方向のインターネット接続を提供します。インターネットから VM への新規の受信接続は許可しません。,【アクセスとセキュリティの構成】
248,外部 IP アドレスを持たない VM から、Cloud Storage などの Google API とサービスへプライベートにアクセスするための VPC の機能は何ですか？,Private Google Access,Cloud CDN,Cloud Armor,Cloud Interconnect,A,Private Google Access を有効にすると、外部 IP アドレスを持たない VM から Google API とサービスへアクセスできます。サブネット単位で設定します。,【アクセスとセキュリティの構成】
249,社内ユーザーだけに、外部 IP アドレスを公開せずに管理用 Web アプリケーションへのアクセスを許可したい場合に適したサービスは何ですか？,Identity-Aware Proxy,Cloud CDN,Cloud NAT,Cloud Router,A,Identity-Aware Proxy（IAP）は、ユーザー ID と IAM に基づいてアプリケーションへのアクセスを制御します。アプリケーション レベルでのゼロトラスト アクセスに利用できます。,【アクセスとセキュリティの構成】
250,HTTP(S) ロードバランサの背後にある公開 Web アプリケーションを、SQL インジェクションや DDoS 攻撃から保護するためのサービスは何ですか？,Cloud Armor,Cloud KMS,Secret Manager,Cloud VPN,A,Cloud Armor は、Google のエッジで動作する Web アプリケーション ファイアウォール（WAF）と DDoS 防御を提供します。セキュリティ ポリシーをロードバランサのバックエンドに適用できます。,【アクセスとセキュリティの構成】
251,アプリケーションが使用するデータベース パスワードや API キーを、ソースコードや VM のメタデータに保存せず安全に管理するサービスは何ですか？,Secret Manager,Artifact Registry,Cloud Storage,Cloud Build,A,Secret Manager は、シークレットの安全な保存、バージョン管理、IAM によるアクセス制御を提供します。アプリケーションには必要なシークレットへのアクセス権だけを付与します。,【アクセスとセキュリティの構成】
252,Cloud Storage のデータを、Google 管理の暗号鍵ではなく、組織が管理・ローテーションする暗号鍵で暗号化したい場合に使用するサービスは何ですか？,Cloud KMS,Cloud Logging,Cloud DNS,Cloud Tasks,A,Cloud KMS は暗号鍵の作成、管理、ローテーション、利用権限の制御を提供します。CMEK をサポートするサービスと組み合わせて、顧客管理の鍵でデータを保護できます。,【アクセスとセキュリティの構成】
253,Google Cloud 環境の脆弱性、設定ミス、過度な IAM 権限などのセキュリティ リスクを検出して一元的に確認するサービスは何ですか？,Security Command Center,Cloud Monitoring,Cloud Build,Cloud Composer,A,Security Command Center は、Google Cloud リソースのセキュリティ状態を可視化し、脅威や脆弱性、構成上のリスクに関する検出結果を集約します。,【アクセスとセキュリティの構成】
254,「誰が IAM ポリシーを変更したか」を後から監査できるように、Google Cloud が標準で記録するログは何ですか？,管理アクティビティ監査ログ,VPC フローログ,アプリケーション エラーログ,Cloud CDN キャッシュログ,A,管理アクティビティ監査ログには、IAM ポリシー変更など、リソースの構成や管理に関する操作が記録されます。監査やインシデント調査で重要な証跡です。,【アクセスとセキュリティの構成】
255,特権アカウントへの不正ログインのリスクを低減するために、パスワードに加えてスマートフォンの確認コードなどを要求する仕組みは何ですか？,2 段階認証,Cloud NAT,CMEK,コンテナ イメージ署名,A,2 段階認証（2SV）では、パスワードに加えて別の認証要素を求めます。特に管理者や高権限アカウントでは、有効化が重要です。,【アクセスとセキュリティの構成】
256,特定のユーザーに「平日の勤務時間中に限り、特定の Cloud Storage バケットを読み取る」権限を与えたい場合に利用する IAM の機能は何ですか？,IAM Conditions,基本ロール,Cloud NAT,Cloud Scheduler,A,IAM Conditions を使うと、リソース名、リクエスト時刻、アクセス元の属性などの条件に基づいて、ロール バインディングを限定できます。,【アクセスとセキュリティの構成】
257,オンプレミスや他社クラウドで実行するワークロードから Google Cloud にアクセスする際、長期間有効なサービス アカウント キーを作成せずに認証する方法は何ですか？,Workload Identity 連携,すべての API を匿名公開する,オーナーロールを全ユーザーに付与する,Cloud Storage に鍵ファイルを保存する,A,Workload Identity 連携では、外部 ID プロバイダの認証情報を用いて、短期間の Google Cloud 認証情報を取得できます。サービス アカウント キーの配布・保管リスクを減らせます。,【アクセスとセキュリティの構成】
258,運用担当者にサービス アカウント キーを配布せず、必要な場合だけ対象サービス アカウントの権限で作業させるための方法は何ですか？,サービス アカウントの権限借用（インパーソネーション）,サービス アカウントを複数人で共有する,サービス アカウントにオーナーロールを付与する,パスワードを Cloud Logging に記録する,A,サービス アカウントのインパーソネーションでは、権限を持つユーザーが短期間だけサービス アカウントとして認証できます。長期鍵を配布せず、監査可能性も高められます。,【アクセスとセキュリティの構成】
259,機密性の高い Cloud Storage バケットからのデータ流出を防ぐため、許可されたプロジェクトやサービスの境界外へデータを移動しにくくするセキュリティ機能は何ですか？,VPC Service Controls,Cloud CDN,Cloud Router,Cloud Scheduler,A,VPC Service Controls は、サービス境界を設定して Google Cloud サービスのデータに対するアクセスを制御し、認証情報の漏えいなどによるデータ流出リスクを低減します。,【アクセスとセキュリティの構成】
260,Google Kubernetes Engine で、Pod が Google Cloud API にアクセスする際に、ノードのサービス アカウント権限を共有せず、Pod ごとに最小権限を与えたい場合に使用する機能は何ですか？,Workload Identity,Cloud CDN,Cloud NAT,Persistent Disk のスナップショット,A,GKE の Workload Identity を使用すると、Kubernetes のサービス アカウントを IAM サービス アカウントに関連付け、Pod 単位で Google Cloud リソースへのアクセス権を制御できます。,【アクセスとセキュリティの構成】
261,Cloud Storage バケット内のオブジェクトを、誤って `allUsers` や `allAuthenticatedUsers` に公開することを組織全体で防止したい場合に有効にする機能は何ですか？,公開アクセス防止,Cloud CDN,Cloud NAT,Cloud VPN,A,公開アクセス防止を有効にすると、バケットやオブジェクトを `allUsers` または `allAuthenticatedUsers` に公開する IAM ポリシーや ACL を設定できなくなります。,【アクセスとセキュリティの構成】
262,Cloud Storage バケットへのアクセス制御を IAM のみに統一し、オブジェクト単位の ACL による意図しない権限付与を防ぐ設定は何ですか？,均一なバケットレベルのアクセス,オブジェクトのバージョニング,Cloud KMS のキーローテーション,Cloud Armor のレート制限,A,均一なバケットレベルのアクセスを有効にすると、Cloud Storage の ACL が無効になり、アクセス制御を IAM に一元化できます。,【アクセスとセキュリティの構成】
263,非公開の Cloud Storage オブジェクトを、IAM 権限を持たない外部ユーザーに対して一定時間だけダウンロード可能にしたい場合に適した方法は何ですか？,署名付き URL を発行する,バケットを全世界に公開する,ユーザーにオーナーロールを付与する,Cloud CDN を無効にする,A,署名付き URL は、指定したオブジェクトに対する期限付きのアクセスを許可します。バケットを公開したり、恒久的な IAM 権限を外部ユーザーへ付与したりする必要がありません。,【アクセスとセキュリティの構成】
264,VPC ファイアウォール ルールで、同じ VM と通信に複数のルールが一致した場合、どのルールが優先されますか？,優先度の数値が小さいルール,優先度の数値が大きいルール,最後に作成されたルール,最も多くのポートを許可するルール,A,VPC ファイアウォール ルールは、優先度の数値が小さいほど先に評価されます。許可と拒否が同じ優先度で競合する場合は、拒否ルールが優先されます。,【アクセスとセキュリティの構成】
265,VPC ネットワークにおいて、明示的な受信許可ルールに一致しないインターネットからの受信トラフィックは、通常どのように扱われますか？,暗黙の拒否によりブロックされる,すべての VM に自動転送される,Cloud NAT によって許可される,Cloud DNS によって暗号化される,A,VPC には暗黙の受信拒否ルールがあります。必要な受信通信だけを明示的に許可することで、攻撃対象領域を小さくできます。,【アクセスとセキュリティの構成】
266,オンプレミス ネットワークと Google Cloud の VPC を、インターネット経由で暗号化して接続するサービスは何ですか？,Cloud VPN,Cloud Interconnect,Private Service Connect,Cloud CDN,A,Cloud VPN は、IPsec VPN トンネルを使用してオンプレミスと VPC を安全に接続します。Cloud Interconnect は専用またはパートナー接続を利用する選択肢です。,【アクセスとセキュリティの構成】
267,VPC 内のクライアントから Google API や公開サービスへアクセスする際、トラフィックを Google のネットワーク内にとどめ、パブリック IP を使用しない接続を提供する機能は何ですか？,Private Service Connect,Cloud CDN,Cloud Armor,Cloud Router,A,Private Service Connect は、VPC 内の内部 IP アドレスを介して Google API、Google 管理サービス、または公開サービスへプライベートに接続する方法を提供します。,【アクセスとセキュリティの構成】
268,Compute Engine 上の管理対象 VM に対し、SSH 公開鍵をプロジェクト メタデータで配布せず、IAM に基づいて Linux ユーザーのログインを制御する機能は何ですか？,OS Login,Cloud NAT,Cloud KMS,Cloud Storage,A,OS Login は IAM 権限を Linux アカウントに関連付け、SSH アクセスを一元管理します。退職者のアクセス削除や監査を容易にできます。,【アクセスとセキュリティの構成】
269,Compute Engine VM の起動時に、ブート コンポーネントの改ざんを検出し、信頼できるイメージから起動するためのセキュリティ機能は何ですか？,Shielded VM,Cloud Run,Cloud Functions,Cloud Scheduler,A,Shielded VM は、セキュアブート、vTPM、整合性モニタリングなどを通じて、VM のブート レベルにおける不正な変更から保護します。,【アクセスとセキュリティの構成】
270,GKE へのデプロイ時に、信頼されたソースからビルド・署名されたコンテナ イメージだけを実行可能にするためのサービスは何ですか？,Binary Authorization,Artifact Registry,Cloud Build,Cloud Deploy,A,Binary Authorization は、デプロイ ポリシーにより、必要な証明（アテステーション）を持つコンテナ イメージだけを GKE にデプロイできるようにします。,【アクセスとセキュリティの構成】
271,コンテナ イメージを保存し、脆弱性の検出結果を確認してから GKE へデプロイするためのアーティファクト管理サービスは何ですか？,Artifact Registry,Cloud Storage,Secret Manager,Cloud Composer,A,Artifact Registry は、コンテナ イメージや言語パッケージを一元管理します。脆弱性スキャンの結果を確認し、安全な成果物をデプロイする運用に役立ちます。,【アクセスとセキュリティの構成】
272,Cloud SQL を利用するアプリケーションで、データベースにパブリック IP を割り当てず、VPC 内の VM からだけ接続できるようにする構成は何ですか？,プライベート IP 接続,Cloud CDN 接続,Cloud NAT 接続,Cloud DNS の公開ゾーン,A,Cloud SQL のプライベート IP を使用すると、VPC 内の内部 IP アドレスを通じて接続できます。公開ネットワークへの露出を抑える構成です。,【アクセスとセキュリティの構成】
273,社内専用の名前（例: `db.corp.internal`）を VPC 内でだけ名前解決し、インターネット上には公開しないために Cloud DNS で作成するものは何ですか？,プライベート ゾーン,公開ゾーン,Cloud CDN バックエンド,Cloud Armor セキュリティ ポリシー,A,Cloud DNS のプライベート ゾーンは、関連付けた VPC ネットワーク内からのみ名前解決できます。内部サービスの名前を外部に公開せずに管理できます。,【アクセスとセキュリティの構成】
274,Cloud Logging の監査ログのうち、Cloud Storage オブジェクトの読み取りなど、API によるデータアクセスを調査する際に確認すべきログ種別は何ですか？,データアクセス監査ログ,管理アクティビティ監査ログ,システムイベント監査ログ,ポリシー拒否監査ログ,A,データアクセス監査ログは、ユーザーが提供するデータの作成、変更、読み取りに関する API 呼び出しを記録します。多くのサービスでは明示的な有効化が必要で、保存量と費用も考慮します。,【アクセスとセキュリティの構成】
275,監査ログを、ログの書き込み元プロジェクトの管理者からも分離して長期間保存したい場合に最も適切な構成はどれですか？,専用のセキュリティ プロジェクトの Cloud Logging ログバケットへログルーターで集約する,各 VM のローカル ディスクだけに保存する,ログを無効化して Cloud Monitoring のアラートだけを使う,すべてのログを Cloud CDN にキャッシュする,A,ログルーターを使い、分離したセキュリティ プロジェクトのログバケットにログを集約すると、監査ログの集中管理とアクセス権の分離を実現できます。,【アクセスとセキュリティの構成】
276,Cloud Armor で、特定の送信元 IP アドレスからの短時間のリクエスト数を制限し、ログイン API に対するブルートフォース攻撃を緩和する機能は何ですか？,レート制限ルール,Cloud KMS のキーローテーション,Cloud DNS のプライベート ゾーン,Cloud Storage のライフサイクル管理,A,Cloud Armor のレート制限ルールは、送信元ごとのリクエスト数に基づき、過剰なトラフィックを拒否または抑制できます。アプリケーションへの不正試行の軽減に利用します。,【アクセスとセキュリティの構成】
277,GKE クラスタ内で、Pod 間の通信を「許可された名前空間や Pod だけ」に制限し、侵害時の横方向移動を抑止するための Kubernetes の機能は何ですか？,NetworkPolicy,Cloud CDN,Cloud Interconnect,Cloud Scheduler,A,NetworkPolicy は、Pod セレクタや名前空間に基づいて Pod の受信・送信トラフィックを制御します。マイクロサービス間通信の最小権限化に有用です。,【アクセスとセキュリティの構成】
278,GKE クラスタで Kubernetes API に対するユーザーやグループの操作権限を、名前空間単位などで細かく制御する仕組みは何ですか？,Kubernetes RBAC,Cloud NAT,Cloud KMS,Cloud Storage の署名付き URL,A,Kubernetes RBAC は、Role、ClusterRole、RoleBinding などを使って、Kubernetes API に対する操作権限を細かく制御します。Google Cloud IAM と組み合わせて利用します。,【アクセスとセキュリティの構成】
279,Secret Manager のシークレット値が漏えいした疑いがある場合、アプリケーションの停止を最小化しながら安全に更新するために適切な対応はどれですか？,新しいバージョンのシークレットを追加し、アプリケーションを更新後に旧バージョンを無効化する,シークレットをソースコードへ直接書き込む,すべてのユーザーにシークレットへのアクセス権を付与する,Cloud Logging を削除する,A,Secret Manager はシークレットをバージョン管理できます。新しい値へ段階的に切り替え、利用状況を確認した後に漏えいの疑いがある旧バージョンを無効化または破棄します。,【アクセスとセキュリティの構成】
280,Cloud KMS の暗号鍵について、鍵を管理する担当者と、その鍵を使ってデータを暗号化・復号するアプリケーション担当者の権限を分離する主な目的は何ですか？,職務分掌により、不正利用や誤操作のリスクを低減するため,Cloud KMS の鍵をインターネットに公開するため,IAM を使用しないようにするため,すべてのデータを暗号化せずに保存するため,A,鍵の管理権限と鍵の使用権限を IAM で分離することで、単一の担当者が鍵と保護対象データの両方を無制限に扱うリスクを抑え、監査性を高めます。,【アクセスとセキュリティの構成】
281,複数の従業員に同じ IAM ロールを付与し、入社・異動・退職に伴う権限管理を効率化したい場合、メンバーの指定に利用するものは何ですか？,Google グループ,個人のサービス アカウント キー,VPC ネットワークタグ,Cloud Storage バケット名,A,IAM ロールを Google グループに付与すると、グループのメンバーシップを変更するだけでアクセス権を管理できます。個人ごとの直接的なロール付与を減らせます。,【アクセスとセキュリティの構成】
282,事前定義ロールでは権限が多すぎる一方、独自アプリケーションの運用に必要な権限セットが明確な場合、最小権限を実現するために作成するものは何ですか？,カスタムロール,基本ロールのオーナー,ファイアウォールの許可ルール,Cloud DNS の公開ゾーン,A,カスタムロールでは、組織またはプロジェクトで必要な権限だけを選んで独自のロールを定義できます。事前定義ロールの利用をまず検討し、要件に合わない場合に使用します。,【アクセスとセキュリティの構成】
283,あるユーザーが上位階層から継承した広い権限を持っている場合でも、特定の危険な権限を明示的に禁止するために使用する IAM の機能は何ですか？,IAM deny ポリシー,IAM Conditions,Cloud NAT,Cloud CDN,A,IAM deny ポリシーは、許可ポリシーで付与されたアクセスより優先して、指定したプリンシパルによる特定の権限の使用を禁止できます。,【アクセスとセキュリティの構成】
284,組織の Google Cloud リソースを、承認済みの社内ドメインのユーザーやグループとだけ共有するよう強制したい場合に使用する仕組みは何ですか？,ドメイン制限の組織ポリシー,Cloud Armor のレート制限,Cloud CDN のキャッシュ,Cloud Router の BGP セッション,A,ドメイン制限の組織ポリシーを使用すると、許可された Google Workspace または Cloud Identity の顧客 ID に属する ID に、IAM ポリシーのメンバーを制限できます。,【アクセスとセキュリティの構成】
285,VPC 内の VM のネットワーク通信を記録し、不審な送信先や想定外の通信を調査したい場合に有効にする機能は何ですか？,VPC フローログ,Cloud Build トリガー,Cloud Storage のオブジェクト保持,Cloud KMS のキーバージョン,A,VPC フローログは、VM インスタンスとの間で送受信されるネットワーク フローのサンプルを Cloud Logging に記録します。ネットワークの可視化やセキュリティ調査に役立ちます。,【アクセスとセキュリティの構成】
286,VPC ファイアウォール ルールによって、どの通信が許可または拒否されたかを確認したい場合に設定するものは何ですか？,ファイアウォール ルールのログ記録,Cloud CDN のキャッシュ無効化,Cloud SQL のリードレプリカ,Cloud Scheduler のジョブ,A,ファイアウォール ルールでログ記録を有効にすると、ルールに一致した接続に関するログが Cloud Logging に出力されます。ルールの検証や異常通信の調査に使用します。,【アクセスとセキュリティの構成】
287,Cloud DNS の公開ゾーンにおいて、DNS 応答の改ざんやなりすましのリスクを減らすために有効化する拡張機能は何ですか？,DNSSEC,Cloud NAT,Private Service Connect,Cloud Armor,A,DNSSEC は DNS レコードに電子署名を付与し、DNS リゾルバが応答の真正性を検証できるようにします。公開 DNS ゾーンの保護に役立ちます。,【アクセスとセキュリティの構成】
288,規制要件により、Cloud Storage バケット内の監査証跡を一定期間は変更・削除できないようにしたい場合に設定するものは何ですか？,バケット保持ポリシーと保持ポリシーのロック,Cloud CDN の TTL,Cloud NAT の外部 IP,Cloud Build のビルドトリガー,A,Cloud Storage の保持ポリシーは、オブジェクトを指定期間保持します。ポリシーをロックすると、保持期間を短縮または削除できなくなり、WORM 要件への対応に利用できます。,【アクセスとセキュリティの構成】
